,성별,고교성적,학년,학과,최근성적,거주상태,용돈,장학금여부,학습시간,파티활동빈도,외출시음주량,음주로인한결석수,낙제횟수,연애여부,부모의음주허용여부,부모관계친밀도
21,Male,80.0,2nd Year,Engineering,62.0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",8+,Only weekends,5-8,0,2,No,Yes,Very close
22,Female,73.0,2nd Year,Arts & Social Sciences,,Private accommodation/ stay with family/friends,,No,1-3,Only weekends,1-3,0,2,No,No,Very close
23,Female,83.0,2nd Year,Law,55.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,Only weekends,3-5,2,4+,No,Yes,Very close
24,Female,78.0,1st Year,Economic & Management Sciences,76.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,8+,2,3-5,2,0,No,Yes,Very close
25,Male,74.0,2nd Year,Arts & Social Sciences,65.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,3-5,2,8+,2,2,No,Yes,Very close
26,Male,83.0,3rd Year,Engineering,69.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,Only weekends,3-5,0,0,Yes,Yes,Very close
27,Male,79.0,2nd Year,Engineering,60.0,Private accommodation/ stay with family/friends,R 8000+,No,5-8,Only weekends,8+,1,3,No,Yes,Very close
28,Female,83.0,2nd Year,Economic & Management Sciences,55.0,Non-private accommodation ie. Res,R 5001 - R 6000,No,8+,Only weekends,1-3,0,1,No,Yes,Very close
29,Female,79.0,1st Year,Economic & Management Sciences,74.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,3-5,3,5-8,0,0,No,Yes,Very close
30,Male,87.0,2nd Year,Engineering,70.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,1,5-8,0,0,No,Yes,Very close
31,Male,84.0,1st Year,Engineering,60.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,Only weekends,5-8,0,0,No,Yes,Very close
32,Male,84.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,Only weekends,5-8,0,0,No,Yes,Close
33,Male,86.0,2nd Year,Economic & Management Sciences,54.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,5-8,1,5-8,2,1,Yes,Yes,Very close
34,Female,80.0,2nd Year,Science,75.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,8+,1,3-5,0,1,Yes,Yes,Very close
35,Male,80.0,1st Year,Economic & Management Sciences,63.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,0,8+,2,0,No,Yes,Very close
36,Male,78.0,2nd Year,Economic & Management Sciences,73.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,5-8,2,5-8,2,0,No,Yes,Very close
37,Male,73.0,1st Year,Economic & Management Sciences,57.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,5-8,1,8+,2,3,Yes,Yes,Close
38,Male,99.0,2nd Year,Economic & Management Sciences,90.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,Only weekends,3-5,3,4+,No,Yes,Very close
39,Female,82.6,2nd Year,Arts & Social Sciences,75.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,3,1-3,0,0,Yes,Yes,Close
40,Female,78.0,1st Year,Economic & Management Sciences,78.0,Private accommodation/ stay with family/friends,R 8000+,No,1-3,3,5-8,2,0,Yes,Yes,Close
41,Female,65.0,2nd Year,Economic & Management Sciences,55.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,1,3-5,2,4+,Yes,Yes,Very close
42,Male,84.0,2nd Year,Economic & Management Sciences,70.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,1,8+,4+,0,Yes,Yes,Very close
43,Female,83.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,Only weekends,1-3,0,0,No,Yes,Close
44,Female,80.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,Only weekends,1-3,0,0,Yes,Yes,Very close
45,Female,80.0,,Arts & Social Sciences,,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,2,3-5,2,0,Yes,Yes,Very close
46,Male,81.0,2nd Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,1-3,2,5-8,0,3,Yes,Yes,Very close
47,Male,76.0,1st Year,Arts & Social Sciences,61.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,1,1-3,0,0,Yes,Yes,Very close
48,Male,76.0,2nd Year,Economic & Management Sciences,63.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,0,5-8,0,0,Yes,Yes,Close
49,Female,88.0,1st Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,1,1-3,0,1,Yes,Yes,Very close
50,Male,75.0,2nd Year,Economic & Management Sciences,57.0,Private accommodation/ stay with family/friends,R 8000+,No,5-8,Only weekends,1-3,1,2,No,Yes,Close
51,Male,70.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,3-5,1,3-5,0,0,No,Yes,Close
52,Female,70.0,1st Year,Economic & Management Sciences,,Non-private accommodation ie. Res,R 4001- R 5000,No,3-5,2,3-5,2,0,Yes,No,Very close
53,Male,84.0,1st Year,Science,74.0,Non-private accommodation ie. Res,R 4001- R 5000,No,1-3,1,1-3,0,0,No,Yes,Close
54,Male,98.0,1st Year,Engineering,89.0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",1-3,Only weekends,8+,0,4+,Yes,No,Distant
55,Male,72.0,2nd Year,Arts & Social Sciences,76.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,1,1-3,0,0,Yes,Yes,Close
56,Female,84.0,1st Year,Medicine and Health Services,80.0,Non-private accommodation ie. Res,R 6001 - R 7000,No,8+,Only weekends,5-8,2,0,No,Yes,Very close
57,Male,85.0,2nd Year,Economic & Management Sciences,66.0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",8+,1,8+,4+,0,Yes,Yes,Fair
58,Female,84.0,1st Year,Medicine and Health Services,80.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,Only weekends,3-5,0,0,No,Yes,Very close
59,Female,90.0,2nd Year,Law,70.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,5-8,Only weekends,3-5,0,3,No,Yes,Very close
60,Female,72.0,3rd Year,Education,65.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,3-5,2,5-8,0,1,No,Yes,Very close
61,Female,78.0,1st Year,Science,75.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,3,3-5,2,0,No,Yes,Close
62,Female,83.0,2nd Year,Engineering,63.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,Only weekends,3-5,0,0,No,Yes,Close
63,Female,85.0,1st Year,Economic & Management Sciences,80.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,1,1-3,0,0,Yes,Yes,Very close
64,Female,81.0,2nd Year,Economic & Management Sciences,65.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,"Yes (NSFAS, etc...)",8+,Only weekends,3-5,1,1,No,Yes,Very close
65,Female,84.0,1st Year,Science,75.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,1,3-5,3,0,Yes,Yes,Very close
66,Male,76.0,2nd Year,Science,65.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,8+,1,0,0,0,Yes,Yes,Very close
67,Female,80.0,2nd Year,Engineering,61.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,3-5,Only weekends,1-3,0,0,Yes,Yes,Close
68,Female,73.0,,Arts & Social Sciences,,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",3-5,2,1-3,0,0,No,Yes,Very close
69,Male,85.0,4th Year,AgriSciences,76.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,5-8,2,8+,0,0,Yes,Yes,Very close
70,Female,84.0,2nd Year,Science,65.0,Non-private accommodation ie. Res,,"Yes (NSFAS, etc...)",5-8,1,1-3,0,0,Yes,Yes,Very close
71,Male,85.0,1st Year,Arts & Social Sciences,58.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,Only weekends,5-8,2,0,No,Yes,Very close
72,Female,75.0,2nd Year,Arts & Social Sciences,,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",5-8,Only weekends,1-3,0,2,Yes,Yes,Very close
73,Female,98.33,2nd Year,Economic & Management Sciences,95.22,Non-private accommodation ie. Res,R 4001- R 5000,No,8+,1,0,0,0,No,Yes,Close
74,Female,70.0,1st Year,AgriSciences,60.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,5-8,3,1-3,0,1,No,No,Very close
75,Male,75.0,2nd Year,Economic & Management Sciences,65.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,8+,1,5-8,0,2,Yes,Yes,Very close
76,Female,76.0,2nd Year,Law,60.0,,R 4001- R 5000,No,1-3,3,5-8,2,0,No,Yes,Very close
77,Female,87.0,,Science,,,,No,8+,Only weekends,1-3,0,0,No,Yes,Very close
78,Male,75.0,2nd Year,Economic & Management Sciences,58.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,2,8+,0,0,Yes,No,Very close
79,Male,86.0,3rd Year,AgriSciences,55.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,"Yes (NSFAS, etc...)",1-3,1,8+,1,3,No,Yes,Very close
80,Female,80.0,3rd Year,Medicine and Health Services,71.0,Private accommodation/ stay with family/friends,R 8000+,No,5-8,Only weekends,1-3,0,0,No,Yes,Very close
81,Female,75.0,3rd Year,Arts & Social Sciences,60.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,1,8+,0,0,Yes,Yes,Very close
82,Female,75.0,2nd Year,Economic & Management Sciences,70.0,Private accommodation/ stay with family/friends,R 8000+,No,5-8,1,5-8,3,0,No,Yes,Very close
83,Female,80.0,2nd Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,Only weekends,5-8,0,1,Yes,Yes,Very close
84,Female,75.0,3rd Year,Economic & Management Sciences,64.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,Only weekends,5-8,0,1,No,Yes,Very close
85,Female,85.0,3rd Year,Science,84.0,Non-private accommodation ie. Res,R 5001 - R 6000,"Yes (NSFAS, etc...)",8+,2,5-8,0,0,Yes,Yes,Very close
86,Female,79.0,2nd Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,5-8,1,5-8,1,2,No,Yes,Very close
87,Male,77.98972431077695,3rd Year,Medicine and Health Services,61.0,Non-private accommodation ie. Res,R 4001- R 5000,"Yes (NSFAS, etc...)",1-3,Only weekends,3-5,0,1,No,Yes,Very close
88,Female,78.0,2nd Year,Law,66.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,3-5,1,5-8,3,1,No,Yes,Very close
89,Male,65.0,1st Year,Economic & Management Sciences,65.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,2,3-5,1,0,No,Yes,Very close
90,Female,82.0,2nd Year,Engineering,53.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,1,5-8,2,4+,No,Yes,Very close
91,Female,77.0,1st Year,AgriSciences,62.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,5-8,Only weekends,3-5,0,0,No,Yes,Very close
92,Female,85.0,2nd Year,Science,65.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,8+,1,5-8,3,0,No,Yes,Very close
93,Female,81.0,3rd Year,Arts & Social Sciences,62.0,Private accommodation/ stay with family/friends,R 8000+,No,5-8,Only weekends,5-8,1,1,Yes,Yes,Close
94,Male,77.0,2nd Year,Economic & Management Sciences,61.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,8+,2,8+,1,1,No,Yes,Very close
95,Male,82.0,2nd Year,Economic & Management Sciences,73.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,Only weekends,8+,1,0,No,Yes,Fair
96,Female,73.0,3rd Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,3,5-8,1,0,No,Yes,Close
97,Male,68.0,,Arts & Social Sciences,,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,1,8+,0,0,No,Yes,Very close
98,Male,70.0,2nd Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,3-5,1,3-5,0,0,Yes,Yes,Very close
99,Male,75.0,3rd Year,AgriSciences,64.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,2,3-5,1,0,No,Yes,Very close
100,Male,78.0,2nd Year,Economic & Management Sciences,62.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,1,5-8,1,1,No,Yes,Very close
101,Female,73.0,1st Year,Arts & Social Sciences,69.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,3-5,2,3-5,0,0,Yes,Yes,Very close
102,Male,74.0,2nd Year,Economic & Management Sciences,57.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,5-8,Only weekends,5-8,2,1,No,No,Fair
103,Male,77.0,1st Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,Only weekends,1-3,0,0,Yes,No,Very close
104,Male,66.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,3,8+,0,0,Yes,Yes,Very close
105,Male,80.0,2nd Year,Engineering,60.0,Private accommodation/ stay with family/friends,R 8000+,No,0,1,0,4+,0,Yes,Yes,Very close
106,Female,78.0,1st Year,Economic & Management Sciences,66.0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",3-5,Only weekends,5-8,2,3,Yes,No,Very close
107,Male,75.0,1st Year,Science,50.0,Non-private accommodation ie. Res,R 4001- R 5000,No,8+,Only weekends,3-5,0,3,No,No,Very close
108,Male,72.0,1st Year,Economic & Management Sciences,70.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,0,1,8+,0,0,No,Yes,Fair
109,Male,80.0,3rd Year,Science,65.0,Private accommodation/ stay with family/friends,R 8000+,No,5-8,1,3-5,0,1,Yes,Yes,Close
110,Male,75.0,2nd Year,Economic & Management Sciences,72.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,0,Only weekends,8+,4+,0,No,Yes,Close
111,Female,73.0,2nd Year,Economic & Management Sciences,62.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,8+,2,3-5,1,2,Yes,Yes,Very close
112,Female,86.0,3rd Year,Science,76.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,1,5-8,1,0,No,Yes,Close
113,Male,70.0,1st Year,AgriSciences,75.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,5-8,Only weekends,5-8,0,0,Yes,Yes,Very close
114,Female,83.0,1st Year,Economic & Management Sciences,,,R 6001 - R 7000,No,1-3,Only weekends,5-8,0,0,Yes,Yes,Fair
115,Female,84.0,,Economic & Management Sciences,,,,No,0,3,5-8,0,0,No,Yes,Close
116,Male,85.0,1st Year,Science,88.0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",8+,Only weekends,0,0,0,Yes,Yes,Distant
117,Female,72.0,2nd Year,Arts & Social Sciences,61.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,Only weekends,1-3,0,0,Yes,Yes,Very close
118,Male,73.0,1st Year,Economic & Management Sciences,52.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,2,1-3,1,4+,No,Yes,Very close
119,Female,76.0,Postgraduate,Economic & Management Sciences,79.0,Private accommodation/ stay with family/friends,R 8000+,No,5-8,2,1-3,0,0,No,Yes,Very close
120,Male,76.0,1st Year,Engineering,56.0,Non-private accommodation ie. Res,R 4001- R 5000,No,8+,Only weekends,1-3,0,0,Yes,Yes,Close
121,Male,82.0,2nd Year,Arts & Social Sciences,70.0,Non-private accommodation ie. Res,R 4001- R 5000,No,1-3,2,8+,4+,0,Yes,Yes,Close
122,Male,82.0,2nd Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,1,5-8,0,0,No,Yes,Very close
123,Male,68.0,2nd Year,AgriSciences,57.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,1,5-8,1,3,Yes,No,Close
124,Female,84.0,1st Year,Science,64.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,2,3-5,1,0,No,Yes,Very close
125,Male,79.0,2nd Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 8000+,No,8+,1,5-8,2,2,No,No,Close
126,Male,89.0,2nd Year,Economic & Management Sciences,74.0,Non-private accommodation ie. Res,R 4001- R 5000,No,3-5,1,3-5,0,0,No,Yes,Very close
127,Female,82.0,2nd Year,Education,73.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,Only weekends,5-8,0,0,Yes,Yes,Close
128,Female,83.0,2nd Year,Economic & Management Sciences,51.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,Only weekends,1-3,0,4+,Yes,Yes,Fair
129,Male,76.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,5-8,3,8+,2,0,No,Yes,Very close
130,Male,83.0,2nd Year,Engineering,60.0,Non-private accommodation ie. Res,R 4001- R 5000,No,5-8,3,5-8,4+,1,No,Yes,Very close
131,Female,76.0,2nd Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,3,5-8,2,2,No,Yes,Very close
132,Male,82.0,1st Year,Economic & Management Sciences,65.0,Private accommodation/ stay with family/friends,,"Yes (NSFAS, etc...)",1-3,0,0,0,0,No,No,Close
133,Female,76.0,1st Year,Arts & Social Sciences,54.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,4+,5-8,4+,3,Yes,Yes,Very close
134,Male,78.0,1st Year,Science,65.0,Non-private accommodation ie. Res,R 5001 - R 6000,No,1-3,Only weekends,0,0,2,No,Yes,Very close
135,Male,79.0,2nd Year,Economic & Management Sciences,64.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,2,3-5,3,3,Yes,Yes,Very close
136,Female,72.0,1st Year,Economic & Management Sciences,61.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,1,0,0,1,No,Yes,Very close
137,Male,65.0,,Science,,Private accommodation/ stay with family/friends,R 6001 - R 7000,"Yes (NSFAS, etc...)",3-5,2,8+,1,0,No,Yes,Very close
138,Male,70.0,Postgraduate,AgriSciences,68.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,3,3-5,2,0,No,Yes,Very close
139,Male,72.0,2nd Year,Economic & Management Sciences,53.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,Only weekends,8+,0,4+,Yes,Yes,Close
140,Female,74.0,1st Year,Economic & Management Sciences,73.0,Non-private accommodation ie. Res,,"Yes (NSFAS, etc...)",3-5,1,3-5,0,0,Yes,No,Close
141,Female,76.0,1st Year,Economic & Management Sciences,50.0,Non-private accommodation ie. Res,R 7001 - R 8000,No,0,Only weekends,5-8,0,4+,Yes,Yes,Very close
142,Female,81.0,1st Year,AgriSciences,64.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,1,5-8,1,0,No,No,Close
143,Female,85.0,2nd Year,Economic & Management Sciences,73.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,2,1-3,4+,0,Yes,Yes,Very close
144,Female,85.0,2nd Year,Economic & Management Sciences,73.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,2,1-3,4+,0,Yes,Yes,Very close
145,Female,80.0,2nd Year,Economic & Management Sciences,50.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,5-8,1,1-3,0,1,Yes,Yes,Very close
146,Female,84.0,2nd Year,Economic & Management Sciences,68.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,5-8,3,3-5,1,0,No,Yes,Very close
147,Male,69.0,4th Year,AgriSciences,65.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,5-8,2,8+,2,2,No,Yes,Very close
148,Male,76.0,4th Year,Economic & Management Sciences,71.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,1,5-8,0,0,No,Yes,Very close
149,Female,78.0,2nd Year,Arts & Social Sciences,65.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,5-8,Only weekends,3-5,2,1,No,Yes,Close
150,Male,72.0,3rd Year,AgriSciences,60.0,Private accommodation/ stay with family/friends,,"Yes (NSFAS, etc...)",3-5,Only weekends,5-8,2,4+,No,Yes,Close
151,Female,88.0,2nd Year,Economic & Management Sciences,72.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,1,1-3,1,0,Yes,Yes,Fair
152,Female,92.0,3rd Year,Science,70.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,3-5,4+,8+,2,0,No,Yes,Very close
153,Female,85.0,,Arts & Social Sciences,,,,No,1-3,1,3-5,0,0,No,No,Close
154,Male,74.0,3rd Year,Economic & Management Sciences,77.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,3-5,1,8+,1,0,Yes,Yes,Very close
155,Male,78.0,2nd Year,AgriSciences,60.0,Non-private accommodation ie. Res,R 4001- R 5000,No,0,3,8+,4+,0,No,Yes,Close
156,Female,90.0,1st Year,Economic & Management Sciences,75.0,Non-private accommodation ie. Res,R 4001- R 5000,"Yes (NSFAS, etc...)",3-5,Only weekends,1-3,0,1,No,Yes,Close
157,Male,84.0,2nd Year,Economic & Management Sciences,68.0,Non-private accommodation ie. Res,R 4001- R 5000,No,1-3,4+,5-8,0,0,No,Yes,Close
158,Female,91.86,2nd Year,Economic & Management Sciences,65.89,Private accommodation/ stay with family/friends,,"Yes (NSFAS, etc...)",8+,0,0,0,1,No,No,Very close
159,Male,80.0,4th Year,Economic & Management Sciences,63.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,Only weekends,5-8,0,2,Yes,Yes,Very close
160,Male,71.0,2nd Year,Economic & Management Sciences,55.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,8+,Only weekends,8+,2,2,Yes,Yes,Very close
161,Female,80.0,2nd Year,Economic & Management Sciences,73.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,3-5,1,1-3,1,0,Yes,No,Very close
162,Female,75.0,2nd Year,Arts & Social Sciences,80.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,3-5,Only weekends,5-8,0,0,No,Yes,Close
163,Female,69.0,,Economic & Management Sciences,,,,No,3-5,1,1-3,0,0,Yes,Yes,Very close
164,Male,82.0,2nd Year,Economic & Management Sciences,69.0,Non-private accommodation ie. Res,R 4001- R 5000,No,0,4+,8+,0,0,No,No,Very close
165,Female,80.0,2nd Year,Arts & Social Sciences,70.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,8+,3,3-5,4+,0,Yes,Yes,Very close
166,Female,74.0,,Science,,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,8+,2,1-3,0,0,No,Yes,Very close
167,Male,73.0,2nd Year,Economic & Management Sciences,73.5,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,Only weekends,3-5,0,0,Yes,Yes,Very close
168,Male,74.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,1,1-3,0,0,No,Yes,Very close
169,Female,84.0,2nd Year,Science,70.0,Private accommodation/ stay with family/friends,,No,8+,1,5-8,0,0,Yes,Yes,Very close
170,Male,63.0,1st Year,Economic & Management Sciences,68.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,3,8+,1,0,No,Yes,Close
171,Female,73.0,,Economic & Management Sciences,,,R 4001- R 5000,No,1-3,1,5-8,0,0,No,Yes,Very close
172,Male,78.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,5-8,1,5-8,3,0,No,Yes,Very close
